State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Idukki,"Munnar APMC","Custard Apple(Sharifa)","Custard Apple(Sharifa)",Medium,13/02/2026,6000,6000,6000
"Himachal Pradesh",Kangra,"SMY Palampur",Spinach,Spinach,FAQ,13/02/2026,1800,2200,2000
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Kinnow,Kinnow,Medium,13/02/2026,4500,5000,4800
Kerala,Ernakulam,"Perumbavoor APMC",Colacasia,Other,Medium,13/02/2026,4100,4900,4500
Gujarat,Amreli,"Damnagar APMC",Lemon,Lemon,Local,13/02/2026,5000,5000,5000
Kerala,Kottayam,"Pampady APMC","Indian Beans(Seam)",Other,FAQ,13/02/2026,4500,5500,5000
Punjab,"Ropar (Rupnagar)","Morinda APMC","Tender Coconut","Tender Coconut",Medium,13/02/2026,5000,5000,5000
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Pomegranate,Other,Medium,13/02/2026,12500,13000,12800
"Himachal Pradesh",Kangra,"SMY Jaisinghpur","Peas Wet","Peas Wet",FAQ,13/02/2026,2200,3000,2600
Punjab,Mohali,"Lalru APMC","Peas Wet",Other,Local,13/02/2026,1400,1400,1400
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Capsicum,Capsicum,FAQ,13/02/2026,5200,5800,5500
Punjab,"Ropar (Rupnagar)","Morinda APMC",Raddish,Raddish,Local,13/02/2026,500,700,600
"Himachal Pradesh",Kangra,"SMY Palampur",Raddish,Raddish,FAQ,13/02/2026,1500,1700,1600
Odisha,Bargarh,"Attabira APMC",Raddish,Other,Local,13/02/2026,1000,1400,1200
"West Bengal",Hooghly,"Sheoraphuly APMC",Cucumbar(Kheera),Cucumbar,FAQ,13/02/2026,5000,5500,5200
Kerala,Kottayam,"Pala APMC",Cucumbar(Kheera),Cucumbar,FAQ,13/02/2026,4000,4800,4400
"Uttar Pradesh",Mau(Maunathbhanjan),"Kopaganj APMC",Cucumbar(Kheera),Cucumbar,FAQ,13/02/2026,1700,1700,1700
Punjab,Tarntaran,"Tarantaran APMC",Cucumbar(Kheera),Cucumbar,Local,13/02/2026,1400,1400,1400
Kerala,Kollam,"Chathanoor APMC",Cabbage,Other,FAQ,13/02/2026,3300,3700,3500
Kerala,Kottayam,"Pala APMC",Cabbage,Cabbage,FAQ,13/02/2026,3000,4000,3500
Kerala,Kottayam,"Pampady APMC",Cabbage,Cabbage,FAQ,13/02/2026,4500,5500,5000
Nagaland,Dimapur,"Dimapur APMC",Cabbage,Cabbage,Local,13/02/2026,1500,2500,2000
Odisha,Sundergarh,"Panposh APMC",Cabbage,Other,FAQ,13/02/2026,2500,3500,3000
Punjab,"Ropar (Rupnagar)","Morinda APMC",Cabbage,Cabbage,Local,13/02/2026,800,800,800
Kerala,Kottayam,"Pala APMC",Carrot,Carrot,FAQ,13/02/2026,3300,5000,4200
Punjab,Amritsar,"Rayya APMC",Carrot,Carrot,FAQ,13/02/2026,1400,1400,1400
Punjab,Moga,"Nihal Singh Wala APMC",Carrot,Carrot,FAQ,13/02/2026,1200,1200,1200
Odisha,Sundergarh,"Panposh APMC",Carrot,Other,FAQ,13/02/2026,3500,4200,4000
Uttarakhand,Dehradoon,"Vikasnagar APMC",Carrot,Carrot,Medium,13/02/2026,500,700,700
"Himachal Pradesh",Kangra,"SMY Palampur",Ginger(Green),"Green Ginger",FAQ,13/02/2026,8500,9000,8800
Kerala,Ernakulam,"Perumbavoor APMC","Banana - Green","Banana - Green",Medium,13/02/2026,3000,3600,3300
Kerala,Alappuzha,"Harippad APMC","Banana - Green",Other,FAQ,13/02/2026,4000,4500,4000
Kerala,Idukki,"Munnar APMC","Banana - Green","Banana - Green",Medium,13/02/2026,6000,6000,6000
Kerala,Kottayam,"Pala APMC",Cowpea(Veg),"Cowpea (Veg)",FAQ,13/02/2026,3700,6000,4800
"Himachal Pradesh",Kangra,"SMY Jaisinghpur","Green Chilli","Green Chilly",FAQ,13/02/2026,11000,12000,11500
Uttarakhand,Dehradoon,"Vikasnagar APMC","Green Chilli","Green Chilly",Medium,13/02/2026,1500,2700,2700
Kerala,Ernakulam,"Perumbavoor APMC",Amaranthus,Amaranthus,Medium,13/02/2026,2000,2600,2300
Kerala,Kozhikode(Calicut),"Kallachi APMC",Amaranthus,Amaranthus,FAQ,13/02/2026,3200,3600,3400
Kerala,Kottayam,"Pampady APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,13/02/2026,5000,6000,5500
Kerala,Kozhikode(Calicut),"Kallachi APMC","Bhindi(Ladies Finger)",Other,FAQ,13/02/2026,4800,5200,5000
Gujarat,Amreli,"Damnagar APMC","Bhindi(Ladies Finger)",Bhindi,Local,13/02/2026,4000,4000,4000
Odisha,Sundergarh,"Panposh APMC","Bhindi(Ladies Finger)",Other,FAQ,13/02/2026,4500,5200,5000
Uttarakhand,Dehradoon,"Vikasnagar APMC",Pumpkin,Pumpkin,Medium,13/02/2026,600,800,800
Odisha,Bargarh,"Attabira APMC",Pumpkin,Other,Local,13/02/2026,800,1000,900
Kerala,Malappuram,"Perinthalmanna APMC",Ashgourd,Ashgourd,Large,13/02/2026,1500,1500,1500
Kerala,Kozhikode(Calicut),"Kallachi APMC",Ashgourd,Ashgourd,FAQ,13/02/2026,1800,2200,2000
Kerala,Idukki,"Munnar APMC",Ashgourd,Other,Medium,13/02/2026,4000,4000,4000
"West Bengal",Bankura,"Khatra APMC","Bottle gourd","Bottle Gourd",Local,13/02/2026,1400,2000,1600
"Himachal Pradesh",Kangra,"SMY Jaisinghpur","Bottle gourd","Bottle Gourd",FAQ,13/02/2026,3800,4500,4200
Gujarat,Amreli,"Damnagar APMC","Bottle gourd","Bottle Gourd",Local,13/02/2026,5000,5000,5000
Odisha,Dhenkanal,"Hindol APMC","Bitter gourd","Bitter Gourd","Grade B",13/02/2026,6000,6500,6200
Kerala,Idukki,"Kattappana APMC","Bitter gourd",Other,Small,13/02/2026,4800,4800,4800
"Uttar Pradesh",Mau(Maunathbhanjan),"Kopaganj APMC","Bitter gourd","Bitter Gourd",FAQ,13/02/2026,2200,2200,2200
Kerala,Ernakulam,"Perumbavoor APMC",Tomato,Tomato,Medium,13/02/2026,3600,4400,4000
Kerala,Kollam,"Chathanoor APMC",Tomato,Other,FAQ,13/02/2026,6800,7200,7000
"West Bengal",Hooghly,"Sheoraphuly APMC",Tomato,Other,FAQ,13/02/2026,1400,1600,1500
Kerala,Kottayam,"Pampady APMC",Tomato,Tomato,FAQ,13/02/2026,4500,5500,5000
"Uttar Pradesh",Mau(Maunathbhanjan),"Kopaganj APMC",Tomato,Tomato,FAQ,13/02/2026,1800,1800,1800
Odisha,Sundergarh,"Sargipali APMC",Tomato,Local,FAQ,13/02/2026,800,1200,1000
"West Bengal",Hooghly,"Champadanga APMC",Tomato,Deshi,FAQ,13/02/2026,1400,1600,1500
Odisha,Bargarh,"Attabira APMC",Tomato,Other,Local,13/02/2026,1000,1400,1200
Gujarat,Amreli,"Damnagar APMC",Guar,Gwar,Local,13/02/2026,8500,8500,8500
"Himachal Pradesh",Kangra,"SMY Palampur","Water Melon","Water Melon",Medium,13/02/2026,5000,5500,5200
"Himachal Pradesh",Kangra,"SMY Palampur",Papaya,Papaya,Medium,13/02/2026,4000,4500,4200
Odisha,Sundergarh,"Panposh APMC","Field Pea","Field Pea",FAQ,13/02/2026,2000,3000,2500
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Coriander(Leaves),Coriander,FAQ,13/02/2026,3500,4000,3800
Kerala,Kottayam,"Pala APMC",Brinjal,Brinjal,FAQ,13/02/2026,4000,5000,4500
Kerala,Idukki,"Munnar APMC",Cauliflower,Other,Medium,13/02/2026,6000,6000,6000
"West Bengal",Bankura,"Khatra APMC",Potato,Other,Non-FAQ,13/02/2026,500,650,600
Kerala,Kottayam,"Pampady APMC",Potato,Big,FAQ,13/02/2026,4500,5500,5000
Haryana,Gurgaon,"Gurgaon APMC",Potato,Other,"Grade B",13/02/2026,500,700,600
Punjab,Faridkot,"Kotkapura APMC",Potato,Potato,FAQ,13/02/2026,1000,1500,1200
Kerala,Alappuzha,"Harippad APMC",Onion,Big,FAQ,13/02/2026,2500,3000,2500
"West Bengal",Hooghly,"Champadanga APMC",Onion,Nasik,FAQ,13/02/2026,1500,2000,1800
Punjab,Mohali,"Lalru APMC",Onion,Other,Local,13/02/2026,1600,1600,1600
Kerala,Kollam,"Chathanoor APMC",Banana,Robusta,Medium,13/02/2026,3300,3700,3500
Kerala,Kollam,"Chathanoor APMC",Banana,Poovan,Medium,13/02/2026,5800,6200,6000
Kerala,Idukki,"Munnar APMC",Banana,Poovan,Local,13/02/2026,7000,7000,7000
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Orange,Other,Medium,13/02/2026,11000,13000,12000
"West Bengal",Bankura,"Khatra APMC",Mustard,Mustard,Non-FAQ,13/02/2026,6000,6700,6400
"West Bengal",Bankura,"Khatra APMC",Rice,Common,Local,13/02/2026,3600,3800,3700
"West Bengal",Hooghly,"Sheoraphuly APMC",Rice,Masuri,FAQ,13/02/2026,3240,3270,3260
"West Bengal",Hooghly,"Champadanga APMC",Rice,Fine,FAQ,13/02/2026,4750,4800,4800
"West Bengal",Bankura,"Khatra APMC",Paddy(Common),"Swarna Masuri (New)",Non-FAQ,13/02/2026,2300,2389,2369
"Uttar Pradesh",Balrampur,"Panchpedwa APMC",Paddy(Common),Paddy,FAQ,13/02/2026,2200,2350,2300
